Бренд Onitsuka Tiger (Онитцука Тайгер) | Clothing Encyclopedia;Onitsuka Tiger mærket (Onitsuka Tiger) | Clothing Encyclopedia
Поиск;Søgning
Главная;Hjem
Бренд  Onitsuka Tiger (Онитцука Тайгер);Mærket Onitsuka Tiger (Onitsuka Tiger)
Создание;Grundlæggelse
1949 г.;1949
Основатель;Grundlægger
Кихачиро Оницука (яп. 鬼塚 喜八郎);Kihachiro Onitsuka (jap. 鬼塚 喜八郎)
Разработка;Udvikling
Япония;Japan
Страна производитель;Produktionsland
Главный офис;Hovedkontor
Япония, Кобе;Japan, Kobe
Сайт;Website
Onitsuka Tiger — японский бренд спортивной обуви и одежды, основанный Кихачиро Оницукой в 1949 году в Кобе, Япония.;Onitsuka Tiger er et japansk mærke af sportsfodtøj og tøj, grundlagt af Kihachiro Onitsuka i 1949 i Kobe, Japan.
Бренд Onitsuka Tiger стал известен на международной арене, после того когда Билл Бауэрман, сооснователь Nike, начал носить обувь Onitsuka Tiger во время своего визита в Японию. Билл Бауэрман был настолько впечатлен кроссовками японского производителя, что решил распространять их в США под брендом Blue Ribbon Sports, который позже станет компанией Nike.;Onitsuka Tiger-mærket blev kendt internationalt efter Bill Bowerman, medstifter af Nike, begyndte at bære Onitsuka Tiger sko under sit besøg i Japan. Bill Bowerman var så imponeret over de japanske producenters sneakers, at han besluttede at distribuere dem i USA under mærket Blue Ribbon Sports, som senere blev til Nike.
Первой сделкой Blue Ribbon Sports был заказ 300 пар кроссовок у компании Onitsuka Tiger для перепродажи в США.;Blue Ribbon Sports' første handel var en ordre på 300 par sneakers fra Onitsuka Tiger til videresalg i USA.
Одним из самых знаковых дизайнов Onitsuka Tiger является модель;En af de mest ikoniske designs fra Onitsuka Tiger er modellen
, которая была впервые представлена в подготовке к Олимпийским играм 1968 года в Мехико.;, som først blev præsenteret i forberedelse til De Olympiske Lege i 1968 i Mexico City.
Обувь Onitsuka Tiger известна своим комфортом, прочностью и элегантными, дизайнами. Кроссовки бренда обрели свое место как в мире спорта, так и в мире моды.;Onitsuka Tiger sko er kendt for deres komfort, holdbarhed og elegante design. Mærkets sneakers har fundet deres plads både i sportens verden og i modeverdenen.
